"S1","S2","S3","S4","S5","S6","S7"
333.5,150.5,8.35,49.3,134,61,127
332.5,153.5,8.55,50,135,61.5,127
329.5,156,8.3,51,136,61,126.5
331.5,158,8.6,52,136,61.5,128
324.5,158,8.6,53,131,60.5,126
317.5,153.5,8.35,51,129.5,61.5,125
324.5,159.5,8.45,51.5,132,60.5,124
337,161,8.6,54,132,60,126
336.5,158.5,8.75,55,130.5,59,127
346,166,9.15,55.5,137,60.5,126
332.5,167,9.2,58,138,60,127
327.5,164,9.05,56.5,144,59.5,125
337,162.5,8.75,56,145.5,60,125
338.5,163.5,8.8,52.5,143,60.5,125
339.5,166,9.2,53.5,145,60.5,127
324,170,9.75,53,144,60.5,130
325,171.5,9.5,52.5,143.5,58.5,128
324,177.5,8.75,51.5,122.5,59,126.5
322.5,170,10.1,52,121.5,59,125.5
317.5,167.5,10.5,52.5,118,58,124.5
320.5,167.5,10.3,52,120,57,125
321.5,168,10.4,51.5,119.5,58,123
329,172,10.8,52,122.5,56,124.5
326.5,171.5,10.9,53,120.5,56.5,123.5
323.5,171,11.5,54,124,56,124
323.5,168,11.2,52.5,123.5,55,125
328,169.5,11.3,53,124.5,55.5,126
331.5,170,11.8,53,126.5,56.5,126.5
326.5,172.5,11.6,52.5,122,57,126.5
317.5,172,11.7,52,120,57,124.5
320,173.5,11.9,53,119.5,55,125
314,169.5,11.2,52,114,54.5,122.5
321.5,168.5,11.3,53,115.5,56.5,124
328,168,11.4,55,115.5,57,125.5
326,167,11.2,54.5,118,57,126.5
330.5,170,11.5,56,119,57,129.5
337,169.5,11.8,57,120,56.5,130
345.5,170.5,11.8,57.5,121,56.5,129
342,171.5,11.7,56.5,120,57.5,127
345.5,178.5,12.2,58.5,122,57.5,127
345,183.5,12.8,59.5,127.5,56.5,130.5
335,179.5,12.5,58,128.5,56.5,133.5
330,179.5,13,57,130,59,134.5
327,179,13,58,132,58.5,133.5
327.5,177,12.7,57.5,130.5,58.5,132.5
333,175.5,12.7,54.5,131.5,58.5,129
340,181,12.9,56,136,58,129
343,186,13.1,55,137.5,57.5,129
332,186.5,12.8,56,137,56.5,127.5
333.5,188,12.9,57,137.5,58,131
335,188,13,58,137,57,130.5
342.5,191,13.4,59,140.5,58,131
346,190.5,13.8,57.5,139.5,59,130.5
351.5,189,14.1,57.5,137.5,60.5,129.5
351.5,186.5,14.3,57,139,61.5,129
351,185,14.1,58.5,132,61,128
353,185,13.4,58.5,126,61,128
349.5,189.5,13.2,59,124.5,59.5,129
347,186.5,13.4,59,125.5,60,128
345,185.5,13.1,59.5,126.5,60,131.5
347,186,13.2,59,127,60.5,134
347.5,183,13.3,58,125.5,60,134.5
349,183.5,13.2,57,127,61,133
349.5,182,12.7,56,126,62,134
343,176.5,12.3,54.5,123,60.5,130.5
341,177.5,12.1,53.5,120.5,61,130
333,177,11.7,53.5,119,60,129
332,172,11.5,53,118,60.5,127
336,173.5,11.6,53.5,119.5,60.5,127
331.5,171.5,11.5,52,121,60,126.5
332,168.5,11.3,52.5,120.5,59,127
337,169.5,11.3,53.5,122.5,60.5,130.5
337.5,167,11.5,54.5,125,60.5,128.5
354.5,175.5,12.2,56,130.5,60.5,131.5
349,175,12.5,55,129,60,131.5
342.5,175,12.8,54.5,128,60,130
340,176.5,13.1,56,128,59.5,130
347,177,13.3,56,132,60,131
344.5,174.5,13.1,55.5,131,58.5,129.5
348.5,175,13.8,55.5,133,58.5,131.5
349.5,176.5,13.8,55.5,131,59,131
351.5,182,14.2,56,132,59,133
353.5,182,13.6,55,127.5,59,133
363,179.5,13.8,54,131.5,59,132
366,178.5,13.6,54.5,131,59.5,134.5
364.5,164,13.5,53.5,132.5,59.5,130.5
357.5,159,13.1,53,129.5,58.5,129
373,162.5,12.8,52,128.5,64,130
373,162,13.4,57,129.5,64.5,129
379,164,13.4,57.5,130,64,131
378.5,161.5,13.7,59,131,65,133
375.5,163,13.9,59,132,64,131.5
377,161,13.5,59.5,132,64,133.5
370.5,160,13.4,58.5,132.5,63.5,132.5
372,163.5,13.2,58,135.5,64,134.5
366.5,161,13.1,59,134.5,66,135
365,160,12.5,59.5,133.5,66.5,133.5
366,163,12.9,60,136,67,133.5
365,165,12.8,61.5,138,67.5,135
354,164.5,12.5,60.5,135,67.5,136
359.5,162.5,12.1,59.5,134,68,135.5
357,163.5,12.7,59.5,136,68.5,133.5
362,164.5,12.9,60,137,68,136
369,165.5,13.2,60,136.5,68.5,138
362,163.5,12.5,59,132.5,70,137
363.5,161.5,12.4,59.5,134,68.5,138
353.5,157,12.1,59,132,67.5,137
352,154,12,59.5,133,67.5,135.5
348,154.5,11.9,58.5,133.5,67.5,132
352,155,12.3,61,138,70,135
350.5,157,12.3,61.5,136,70.5,136
347.5,159,12.2,61,136,69,132.5
348.5,159,12.4,62.5,136.5,69.5,134.5
347.5,159,12.2,62.5,136,68,134.5
347.5,160.5,12.4,62.5,136,69.5,136
342.5,157.5,12.5,62,135.5,68.5,136.5
345,161,12.5,61.5,134.5,68,137
345,162,12.8,62,137,69.5,138
342.5,160.5,12.4,62,134,69,138
337.5,157.5,12.1,59.5,130.5,70,137.5
336.5,155.5,11.8,61,129,71.5,138.5
338,155.5,11.7,61,129,71.5,137.5
339.5,157,11.9,62,129.5,71.5,138
332.5,156,12,62.5,129,71.5,140
332.5,156.5,12.2,62.5,130,73,141
335,153.5,11.8,60,128,72,140.5
330,152,11.6,60,125,71.5,137.5
341.5,156,12.1,60,126,71.5,137
343.5,155,12.3,58.5,127.5,72,138
344.5,154.5,12.2,60,125,74,138
348.5,156.5,12.4,60.5,125.5,74.5,140.5
352,158,13,59.5,123.5,74,143
350.5,158,12.9,59.5,124.5,73.5,142.5
353,161,13.1,60,124.5,75,144.5
347.5,159,13.1,60,125,73,144
345.5,158.5,13,61.5,128,71.5,140.5
344,159.5,14.8,60.5,145.5,71,139
344.5,160,15.6,60.5,147.5,70,138
342,160,16.1,60,149,71.5,138.5
340.5,165,16,60.5,148.5,71,138
340,171.5,15.8,60.5,152.5,70.5,137.5
336.5,168,15.8,60.5,150.5,70.5,140
344,169.5,16.7,60,153.5,70.5,140
347,172.5,17.1,62,154.5,69,138
345,169.5,16.6,61.5,153,69,139
347.5,167.5,16.2,61.5,149,71,139
357,170,16,63.5,152.5,71.5,141
352.5,170,16,63,154.5,71,141
357,172.5,16,64.5,154,72.5,140
353.5,169,16.4,65,154.5,70.5,140.5
362.5,170,16.1,64.5,153.5,71,140.5
356,169,15.5,63.5,151,72,139.5
356.5,171.5,16.5,65.5,152.5,71.5,139
357.5,170.5,16.5,66,154,70,137
355,168,16.4,65.5,153.5,71,137.5
360,167,16.5,65.5,151,73,137
359.5,167.5,17,63.5,150,72.5,136.5
355,169,19,64,152,72,136.5
358.5,169.5,19.8,64,155,72.5,138
359,172.5,20.9,60.5,158.5,73.5,137.5
352,174.5,21.1,60.5,161,71.5,139.5
348.5,161.5,20.6,59,161.5,69,137
353,158.5,20.1,59,159,70,137.5
353,158,20.8,60,160.5,70.5,138
354,158,20.5,60.5,162.5,70.5,141
348.5,160,21,60.5,163.5,71,139
350,162,21,61,165,71.5,139
351.5,160,20.4,59.5,163,71,138
351,158.5,20.9,60,166.5,70.5,139
349.5,158,20.2,59,161.5,70.5,139
358,158,20.6,59,162,70.5,138.5
357,157,21.2,61,163.5,69.5,140.5
357,157,21.7,62,163,71,139
363,158.5,21.6,62.5,163.5,72.5,139
368.5,159.5,22.2,61,167.5,72.5,139.5
367,161,23,61.5,168,73,138.5
371,160.5,22.6,60.5,170.5,73,138
364.5,159,22.9,61,171.5,72,138
369,159.5,23.1,59.5,173,73,138
372,158,22,59.5,167.5,72.5,138
374,157.5,21.6,58.5,166,73.5,139.5
363,153.5,20.3,58,160,72.5,136.5
367,156,20.7,58.5,161.5,71.5,138
364.5,154,20.7,59,155.5,73,137.5
366.5,154,20.6,59,157.5,73,136.5
364.5,157.5,21.3,60,161.5,73.5,138
360.5,154.5,20.4,58.5,154.5,73,138.5
363.5,154,20.5,57.5,153.5,72,139.5
354.5,152,19.2,56.5,147.5,72,138.5
353.5,153,19.4,56.5,147,72.5,139
355,151,19.4,57.5,149,72.5,137.5
350.5,152.5,20.2,57,152.5,73,139
351.5,152,20.1,55.5,151,72,140
356.5,154.5,21.2,55,153.5,72.5,140.5
355.5,152.5,21,55,151,74,140.5
353.5,154,20.9,56.5,153,77,141.5
357.5,156.5,22.3,58,155.5,78.5,141
358.5,158.5,22.9,57,159.5,77.5,141.5
359,160,23.4,56.5,160.5,79.5,142.5
365,160,23.3,57.5,133,78.5,142.5
366.5,159.5,23.5,58,128,79.5,143
363,156.5,23.4,58.5,128.5,80.5,143
365.5,158,23.3,58.5,129.5,81.5,145
363,158,22.8,57.5,127.5,81,144.5
370,157.5,22.9,60,124,80,144
373,159,22.8,61,114,81.5,144.5
367.5,160,23.3,60,116,80,145
364.5,159.5,24.1,60.5,117,81,148
363,160,23.6,63,115,80.5,146.5
367,155.5,24.3,63.5,117,81,149
365.5,156,22.7,65,116.5,81,147.5
363.5,151,21.9,64.5,116.5,81.5,152.5
363.5,152.5,22,65,115,79,155.5
356.5,152.5,21.3,65,112.5,77,149.5
356,151.5,21.2,66,110.5,77,147
362,151,20.7,66.5,108,77,146
364,152.5,21.1,68.5,108.5,77.5,146
366.5,153,20.8,68.5,106.5,78,146
366,153.5,21.7,68,108,78.5,148
363,149,21.2,67,106.5,78,143
365,148,21.2,67,107.5,79,145
362.5,144,19.9,66,104.5,76.75,139.5
364,146,20.3,66.25,106.5,76.75,141.5
362.5,142.5,19.5,66,103.5,76.75,139
367,146,20.3,67.5,104,78.5,143.5
364.5,145.5,20.1,67,102,79.25,143.5
358,144,19.3,65,101,78.5,142
362,145,19.4,65.25,101.5,77.25,142.5
357,148,20.4,66.75,103,79.25,142
350,146.5,20.2,66.5,99,78.25,141.5
351,148,20.4,66.25,99.5,77.5,143.5
355,145.5,19.8,66.75,99,77.5,142.5
353,146,20.3,66.75,100,77.75,142
354,147,20.7,66.75,101.5,78,143.5
350.5,148.5,20.8,66.25,101.5,78.75,142.5
348.5,148,20.3,67.5,101,78.5,142.5
351.5,148.5,20.5,68.75,101.5,79,143.5
353.5,149.5,20.5,70,102,78.75,144
356,146.5,21.2,69.5,104,79.25,145
354.5,148,21.9,70,107,79.5,147
357.5,146,22,70,106.5,80,148.5
359,147.5,21.6,69.5,107,78.5,148
357.5,145.5,21.5,69.75,107,77.5,149.5
357,146,21.3,70.25,109,76.5,149.5
352.5,144,20.8,70.5,107.5,77,149.5
356,144,21.2,72.75,108,77.25,148.5
360,144.5,21.3,73,107,77.5,148.5
358.5,144,21.1,72,106.5,78,147.5
358.5,142.5,20.6,72.5,107,78,148
358,142.5,20.5,72.5,107.5,77.25,147.5
354.5,142,20.4,71.5,105.5,76.5,147.5
360,142,21.5,72.5,106.5,76.75,148
353,144,22.2,72.5,107.5,77.75,149.5
345.5,144,22.3,73,107.5,77.5,150.5
345.5,144.5,22.2,72.75,106,77,150.5
342,144.5,22.2,72.5,108,77,150
340,144,22.4,75,110,76.5,148
341,141.5,22,74.5,109,77,148
340,141.5,21.8,74.25,108.5,77,147.5
338,141.5,21.5,74.25,106,75.75,146.5
330,142.5,21.6,74.75,105,77,145
334.5,142.5,21.4,75.25,106.5,78.5,145.5
327,142,20.9,76.5,108,78,145
322.5,142,20.2,76.75,106.5,77.5,142
328,144.5,20.3,76.75,106,77.75,145
328.5,143,21,76.5,105,77,143
322,141,19.6,75.75,91.5,78,142.5
319.5,138,20.1,76,90.5,79.75,145
319,137,19.6,75.75,89,78,143.5
328,134,19.7,75.75,90.75,77.25,142.5
331,133.5,21.3,83.5,91.5,76.25,143.5
332,133,20.4,82.5,88.75,74.5,140.5
338.5,132,20.4,82.5,89.5,72.75,140.5
334,131.5,19.4,81.75,88,73,140.5
338,132.5,20.3,82.5,89,74.75,140
339.5,132.5,20.1,81.75,86.5,73.5,139
341.5,134,20.6,80,88.5,74.25,140.5
346,134,20.7,79.5,88.25,75,141.5
346,133.5,20.3,80.75,87.75,75,141.5
344,132.5,20.2,81,88.25,74.25,141
344,131.5,19.8,79.5,87,75,140.5
341.5,131.5,20.2,81,87.25,75.75,141
332,131.5,19.2,80,84.25,75,139
